name,html_name,weapon,skin,condition,weapon_type,quality,category,name_color,sell_listings,sell_price,sell_price_text
CZ75-Auto | Army Sheen (Factory New),CZ75-Auto%20%7C%20Army%20Sheen%20%28Factory%20New%29,CZ75-Auto,Army Sheen,Factory New,Pistol,Consumer Grade,Normal,D2D2D2,197,150,$1.50 
CZ75-Auto | Army Sheen (Field-Tested),CZ75-Auto%20%7C%20Army%20Sheen%20%28Field-Tested%29,CZ75-Auto,Army Sheen,Field-Tested,Pistol,Consumer Grade,Normal,D2D2D2,132,61,$0.61 
CZ75-Auto | Army Sheen (Minimal Wear),CZ75-Auto%20%7C%20Army%20Sheen%20%28Minimal%20Wear%29,CZ75-Auto,Army Sheen,Minimal Wear,Pistol,Consumer Grade,Normal,D2D2D2,129,94,$0.94 
CZ75-Auto | Chalice (Factory New),CZ75-Auto%20%7C%20Chalice%20%28Factory%20New%29,CZ75-Auto,Chalice,Factory New,Pistol,Restricted,Normal,D2D2D2,15,28809,$288.09 
CZ75-Auto | Circaetus (Battle-Scarred),CZ75-Auto%20%7C%20Circaetus%20%28Battle-Scarred%29,CZ75-Auto,Circaetus,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,1943,9,$0.09 
CZ75-Auto | Circaetus (Factory New),CZ75-Auto%20%7C%20Circaetus%20%28Factory%20New%29,CZ75-Auto,Circaetus,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,239,46,$0.46 
CZ75-Auto | Circaetus (Field-Tested),CZ75-Auto%20%7C%20Circaetus%20%28Field-Tested%29,CZ75-Auto,Circaetus,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,1688,11,$0.11 
CZ75-Auto | Circaetus (Minimal Wear),CZ75-Auto%20%7C%20Circaetus%20%28Minimal%20Wear%29,CZ75-Auto,Circaetus,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,626,19,$0.19 
CZ75-Auto | Circaetus (Well-Worn),CZ75-Auto%20%7C%20Circaetus%20%28Well-Worn%29,CZ75-Auto,Circaetus,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,618,11,$0.11 
CZ75-Auto | Crimson Web (Battle-Scarred),CZ75-Auto%20%7C%20Crimson%20Web%20%28Battle-Scarred%29,CZ75-Auto,Crimson Web,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,77,107,$1.07 
CZ75-Auto | Crimson Web (Factory New),CZ75-Auto%20%7C%20Crimson%20Web%20%28Factory%20New%29,CZ75-Auto,Crimson Web,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,20,1255,$12.55 
CZ75-Auto | Crimson Web (Field-Tested),CZ75-Auto%20%7C%20Crimson%20Web%20%28Field-Tested%29,CZ75-Auto,Crimson Web,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,316,88,$0.88 
CZ75-Auto | Crimson Web (Minimal Wear),CZ75-Auto%20%7C%20Crimson%20Web%20%28Minimal%20Wear%29,CZ75-Auto,Crimson Web,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,159,108,$1.08 
CZ75-Auto | Crimson Web (Well-Worn),CZ75-Auto%20%7C%20Crimson%20Web%20%28Well-Worn%29,CZ75-Auto,Crimson Web,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,96,73,$0.73 
CZ75-Auto | Distressed (Battle-Scarred),CZ75-Auto%20%7C%20Distressed%20%28Battle-Scarred%29,CZ75-Auto,Distressed,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,2397,7,$0.07 
CZ75-Auto | Distressed (Factory New),CZ75-Auto%20%7C%20Distressed%20%28Factory%20New%29,CZ75-Auto,Distressed,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,267,20,$0.20 
CZ75-Auto | Distressed (Field-Tested),CZ75-Auto%20%7C%20Distressed%20%28Field-Tested%29,CZ75-Auto,Distressed,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,2775,7,$0.07 
CZ75-Auto | Distressed (Minimal Wear),CZ75-Auto%20%7C%20Distressed%20%28Minimal%20Wear%29,CZ75-Auto,Distressed,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,2639,9,$0.09 
CZ75-Auto | Distressed (Well-Worn),CZ75-Auto%20%7C%20Distressed%20%28Well-Worn%29,CZ75-Auto,Distressed,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,3220,7,$0.07 
CZ75-Auto | Eco (Battle-Scarred),CZ75-Auto%20%7C%20Eco%20%28Battle-Scarred%29,CZ75-Auto,Eco,Battle-Scarred,Pistol,Restricted,Normal,D2D2D2,186,52,$0.52 
CZ75-Auto | Eco (Factory New),CZ75-Auto%20%7C%20Eco%20%28Factory%20New%29,CZ75-Auto,Eco,Factory New,Pistol,Restricted,Normal,D2D2D2,80,281,$2.81 
CZ75-Auto | Eco (Field-Tested),CZ75-Auto%20%7C%20Eco%20%28Field-Tested%29,CZ75-Auto,Eco,Field-Tested,Pistol,Restricted,Normal,D2D2D2,328,69,$0.69 
CZ75-Auto | Eco (Minimal Wear),CZ75-Auto%20%7C%20Eco%20%28Minimal%20Wear%29,CZ75-Auto,Eco,Minimal Wear,Pistol,Restricted,Normal,D2D2D2,193,131,$1.31 
CZ75-Auto | Eco (Well-Worn),CZ75-Auto%20%7C%20Eco%20%28Well-Worn%29,CZ75-Auto,Eco,Well-Worn,Pistol,Restricted,Normal,D2D2D2,354,51,$0.51 
CZ75-Auto | Emerald (Factory New),CZ75-Auto%20%7C%20Emerald%20%28Factory%20New%29,CZ75-Auto,Emerald,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,153,1258,$12.58 
CZ75-Auto | Emerald (Minimal Wear),CZ75-Auto%20%7C%20Emerald%20%28Minimal%20Wear%29,CZ75-Auto,Emerald,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,16,1232,$12.32 
CZ75-Auto | Emerald Quartz (Battle-Scarred),CZ75-Auto%20%7C%20Emerald%20Quartz%20%28Battle-Scarred%29,CZ75-Auto,Emerald Quartz,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,9,6845,$68.45 
CZ75-Auto | Emerald Quartz (Factory New),CZ75-Auto%20%7C%20Emerald%20Quartz%20%28Factory%20New%29,CZ75-Auto,Emerald Quartz,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,13,6400,$64.00 
CZ75-Auto | Emerald Quartz (Field-Tested),CZ75-Auto%20%7C%20Emerald%20Quartz%20%28Field-Tested%29,CZ75-Auto,Emerald Quartz,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,33,5959,$59.59 
CZ75-Auto | Emerald Quartz (Minimal Wear),CZ75-Auto%20%7C%20Emerald%20Quartz%20%28Minimal%20Wear%29,CZ75-Auto,Emerald Quartz,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,22,8205,$82.05 
CZ75-Auto | Emerald Quartz (Well-Worn),CZ75-Auto%20%7C%20Emerald%20Quartz%20%28Well-Worn%29,CZ75-Auto,Emerald Quartz,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,4,6900,$69.00 
CZ75-Auto | Framework (Battle-Scarred),CZ75-Auto%20%7C%20Framework%20%28Battle-Scarred%29,CZ75-Auto,Framework,Battle-Scarred,Pistol,Consumer Grade,Normal,D2D2D2,474,9,$0.09 
CZ75-Auto | Framework (Factory New),CZ75-Auto%20%7C%20Framework%20%28Factory%20New%29,CZ75-Auto,Framework,Factory New,Pistol,Consumer Grade,Normal,D2D2D2,700,17,$0.17 
CZ75-Auto | Framework (Field-Tested),CZ75-Auto%20%7C%20Framework%20%28Field-Tested%29,CZ75-Auto,Framework,Field-Tested,Pistol,Consumer Grade,Normal,D2D2D2,1593,10,$0.10 
CZ75-Auto | Framework (Minimal Wear),CZ75-Auto%20%7C%20Framework%20%28Minimal%20Wear%29,CZ75-Auto,Framework,Minimal Wear,Pistol,Consumer Grade,Normal,D2D2D2,465,11,$0.11 
CZ75-Auto | Framework (Well-Worn),CZ75-Auto%20%7C%20Framework%20%28Well-Worn%29,CZ75-Auto,Framework,Well-Worn,Pistol,Consumer Grade,Normal,D2D2D2,175,10,$0.10 
CZ75-Auto | Green Plaid (Battle-Scarred),CZ75-Auto%20%7C%20Green%20Plaid%20%28Battle-Scarred%29,CZ75-Auto,Green Plaid,Battle-Scarred,Pistol,Consumer Grade,Normal,D2D2D2,47,161,$1.61 
CZ75-Auto | Green Plaid (Factory New),CZ75-Auto%20%7C%20Green%20Plaid%20%28Factory%20New%29,CZ75-Auto,Green Plaid,Factory New,Pistol,Consumer Grade,Normal,D2D2D2,70,179,$1.79 
CZ75-Auto | Green Plaid (Field-Tested),CZ75-Auto%20%7C%20Green%20Plaid%20%28Field-Tested%29,CZ75-Auto,Green Plaid,Field-Tested,Pistol,Consumer Grade,Normal,D2D2D2,46,109,$1.09 
CZ75-Auto | Green Plaid (Minimal Wear),CZ75-Auto%20%7C%20Green%20Plaid%20%28Minimal%20Wear%29,CZ75-Auto,Green Plaid,Minimal Wear,Pistol,Consumer Grade,Normal,D2D2D2,75,121,$1.21 
CZ75-Auto | Green Plaid (Well-Worn),CZ75-Auto%20%7C%20Green%20Plaid%20%28Well-Worn%29,CZ75-Auto,Green Plaid,Well-Worn,Pistol,Consumer Grade,Normal,D2D2D2,48,301,$3.01 
CZ75-Auto | Hexane (Factory New),CZ75-Auto%20%7C%20Hexane%20%28Factory%20New%29,CZ75-Auto,Hexane,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,129,237,$2.37 
CZ75-Auto | Hexane (Field-Tested),CZ75-Auto%20%7C%20Hexane%20%28Field-Tested%29,CZ75-Auto,Hexane,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,145,82,$0.82 
CZ75-Auto | Hexane (Minimal Wear),CZ75-Auto%20%7C%20Hexane%20%28Minimal%20Wear%29,CZ75-Auto,Hexane,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,122,105,$1.05 
CZ75-Auto | Hexane (Well-Worn),CZ75-Auto%20%7C%20Hexane%20%28Well-Worn%29,CZ75-Auto,Hexane,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,27,98,$0.98 
CZ75-Auto | Imprint (Battle-Scarred),CZ75-Auto%20%7C%20Imprint%20%28Battle-Scarred%29,CZ75-Auto,Imprint,Battle-Scarred,Pistol,Mil-Spec Grade,Normal,D2D2D2,708,7,$0.07 
CZ75-Auto | Imprint (Factory New),CZ75-Auto%20%7C%20Imprint%20%28Factory%20New%29,CZ75-Auto,Imprint,Factory New,Pistol,Mil-Spec Grade,Normal,D2D2D2,164,24,$0.24 
CZ75-Auto | Imprint (Field-Tested),CZ75-Auto%20%7C%20Imprint%20%28Field-Tested%29,CZ75-Auto,Imprint,Field-Tested,Pistol,Mil-Spec Grade,Normal,D2D2D2,2103,7,$0.07 
CZ75-Auto | Imprint (Minimal Wear),CZ75-Auto%20%7C%20Imprint%20%28Minimal%20Wear%29,CZ75-Auto,Imprint,Minimal Wear,Pistol,Mil-Spec Grade,Normal,D2D2D2,1108,9,$0.09 
CZ75-Auto | Imprint (Well-Worn),CZ75-Auto%20%7C%20Imprint%20%28Well-Worn%29,CZ75-Auto,Imprint,Well-Worn,Pistol,Mil-Spec Grade,Normal,D2D2D2,1281,7,$0.07 
CZ75-Auto | Indigo (Battle-Scarred),CZ75-Auto%20%7C%20Indigo%20%28Battle-Scarred%29,CZ75-Auto,Indigo,Battle-Scarred,Pistol,Consumer Grade,Normal,D2D2D2,158,55,$0.55 
CZ75-Auto | Indigo (Factory New),CZ75-Auto%20%7C%20Indigo%20%28Factory%20New%29,CZ75-Auto,Indigo,Factory New,Pistol,Consumer Grade,Normal,D2D2D2,30,239,$2.39 
CZ75-Auto | Indigo (Field-Tested),CZ75-Auto%20%7C%20Indigo%20%28Field-Tested%29,CZ75-Auto,Indigo,Field-Tested,Pistol,Consumer Grade,Normal,D2D2D2,209,70,$0.70 
CZ75-Auto | Indigo (Minimal Wear),CZ75-Auto%20%7C%20Indigo%20%28Minimal%20Wear%29,CZ75-Auto,Indigo,Minimal Wear,Pistol,Consumer Grade,Normal,D2D2D2,110,88,$0.88 
CZ75-Auto | Indigo (Well-Worn),CZ75-Auto%20%7C%20Indigo%20%28Well-Worn%29,CZ75-Auto,Indigo,Well-Worn,Pistol,Consumer Grade,Normal,D2D2D2,132,62,$0.62 
CZ75-Auto | Jungle Dashed (Battle-Scarred),CZ75-Auto%20%7C%20Jungle%20Dashed%20%28Battle-Scarred%29,CZ75-Auto,Jungle Dashed,Battle-Scarred,Pistol,Consumer Grade,Normal,D2D2D2,3502,6,$0.06 
