name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
★ Bayonet,★ Bayonet,7,57189,$571.89,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4900412612', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXU5A1PIYQh5hlcX0nvUOGsx8DdQBJjIAVHubSaKQZ53P3NZXMXvYmykdLSxqWkZ7-HkjMIvpIj3u2Y84733gzh_RU_MG_zIYLEdQ45fxiOrdJh0ExF', 'tradable': 1, 'name': '★ Bayonet', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet', 'market_hash_name': '★ Bayonet', 'commodity': 0}",$547.03
★ Bayonet | Autotronic (Battle-Scarred),★ Bayonet | Autotronic (Battle-Scarred),5,39900,$399.00,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901586193', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zPYgJA7cW5moWfqPbhJ7TFhGRf4cZOguzA45W70Vfg_RA9MGCncNCUJFM_MgyG_Fa6l-rm0Za5tJrPzCdg73Z343ffzgv330__kcveXQ', 'tradable': 1, 'name': '★ Bayonet | Autotronic (Battle-Scarred)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Autotronic (Battle-Scarred)', 'market_hash_name': '★ Bayonet | Autotronic (Battle-Scarred)', 'commodity': 0}",$381.66
★ Bayonet | Autotronic (Field-Tested),★ Bayonet | Autotronic (Field-Tested),11,45203,$452.03,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '1815246926', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zPYgJA7cW5moWfqPbhJ7TFhGRf4cZOh-zF_Jn4xlXh-xFoZGz3LITDdFA5aQ6BrFm4xurs18K7vMzAnSFm7yQrt3rZmkSpwUYbA6u4Kmk', 'tradable': 1, 'name': '★ Bayonet | Autotronic (Field-Tested)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Autotronic (Field-Tested)', 'market_hash_name': '★ Bayonet | Autotronic (Field-Tested)', 'commodity': 0}",$432.38
★ Bayonet | Autotronic (Minimal Wear),★ Bayonet | Autotronic (Minimal Wear),7,63653,$636.53,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4903168190', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zPYgJA7cW5moWfqPbhJ7TFhGRf4cZOhuDG_Zi73FbjrUtsaj_3cdORcQJqNw7YrFO5wbzvgZe9vJ3JyHA1uSlx4CqPygv330-muln14A', 'tradable': 1, 'name': '★ Bayonet | Autotronic (Minimal Wear)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Autotronic (Minimal Wear)', 'market_hash_name': '★ Bayonet | Autotronic (Minimal Wear)', 'commodity': 0}",$608.86
★ Bayonet | Autotronic (Well-Worn),★ Bayonet | Autotronic (Well-Worn),2,45000,$450.00,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4900261892', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zPYgJA7cW5moWfqPbhJ7TFhGRf4cZOh-zF_Jn4xlXh-xFoZGz3LITDdFA5aQ6BrFm4xurs18K7vMzAnSFm7yQrt3rZmkSpwUYbA6u4Kmk', 'tradable': 1, 'name': '★ Bayonet | Autotronic (Well-Worn)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Autotronic (Well-Worn)', 'market_hash_name': '★ Bayonet | Autotronic (Well-Worn)', 'commodity': 0}",$430.44
★ Bayonet | Black Laminate (Battle-Scarred),★ Bayonet | Black Laminate (Battle-Scarred),2,29799,$297.99,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '1822949233', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zLZAJA7cW5moWfqOTgPLXUgWpC4Pp5j-jX7MKi2VDjqEQ-ZGD7LNeQdABtMl2BrAK2xe68gJLv6Z7LnXUxuyki7HnbgVXp1mu9sIvP', 'tradable': 1, 'name': '★ Bayonet | Black Laminate (Battle-Scarred)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Black Laminate (Battle-Scarred)', 'market_hash_name': '★ Bayonet | Black Laminate (Battle-Scarred)', 'commodity': 0}",$285.04
★ Bayonet | Black Laminate (Factory New),★ Bayonet | Black Laminate (Factory New),3,49792,$497.92,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '1828114968', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zLZAJA7cW5moWfqOTgPLXUgWpC4Pp9g-7J4cKljg3n-hA9a2ryd4KVdw88ZlHY-QW7k-y81JW9vp2YmHtgvCN24ivegVXp1hq_vyxB', 'tradable': 1, 'name': '★ Bayonet | Black Laminate (Factory New)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Black Laminate (Factory New)', 'market_hash_name': '★ Bayonet | Black Laminate (Factory New)', 'commodity': 0}",$476.28
★ Bayonet | Black Laminate (Field-Tested),★ Bayonet | Black Laminate (Field-Tested),8,29890,$298.90,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '1815428789', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zLZAJA7cW5moWfqOTgPLXUgWpC4Pp8j-3I4IG7i1Xj8kY4N2_7LILBcwZsZlrS_gK5l-vu0MXu7Z6amnVqviki43nflgv3308aMEej8g', 'tradable': 1, 'name': '★ Bayonet | Black Laminate (Field-Tested)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Black Laminate (Field-Tested)', 'market_hash_name': '★ Bayonet | Black Laminate (Field-Tested)', 'commodity': 0}",$285.91
★ Bayonet | Black Laminate (Minimal Wear),★ Bayonet | Black Laminate (Minimal Wear),7,32017,$320.17,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4896538020', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zLZAJA7cW5moWfqOTgPLXUgWpC4Pp9g-7J4cKljg3n-hA9a2ryd4KVdw88ZlHY-QW7k-y81JW9vp2YmHtgvCN24ivegVXp1hq_vyxB', 'tradable': 1, 'name': '★ Bayonet | Black Laminate (Minimal Wear)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Black Laminate (Minimal Wear)', 'market_hash_name': '★ Bayonet | Black Laminate (Minimal Wear)', 'commodity': 0}",$306.25
★ Bayonet | Black Laminate (Well-Worn),★ Bayonet | Black Laminate (Well-Worn),5,31408,$314.08,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902786694', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zLZAJA7cW5moWfqOTgPLXUgWpC4Pp8j-3I4IG7i1Xj8kY4N2_7LILBcwZsZlrS_gK5l-vu0MXu7Z6amnVqviki43nflgv3308aMEej8g', 'tradable': 1, 'name': '★ Bayonet | Black Laminate (Well-Worn)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Black Laminate (Well-Worn)', 'market_hash_name': '★ Bayonet | Black Laminate (Well-Worn)', 'commodity': 0}",$300.43
★ Bayonet | Blue Steel (Battle-Scarred),★ Bayonet | Blue Steel (Battle-Scarred),7,24435,$244.35,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4899285169', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zJYAJA4MmzkL-DkvbiKvXTkzNVucNzj7mX9tWk21Xkr0JvN231JYGcdA47NF3Y81Hoxebs1sftot2XnmcyW1u0', 'tradable': 1, 'name': '★ Bayonet | Blue Steel (Battle-Scarred)', 'name_color': '8650AC', 'type': '★ Covert Knife', 'market_name': '★ Bayonet | Blue Steel (Battle-Scarred)', 'market_hash_name': '★ Bayonet | Blue Steel (Battle-Scarred)', 'commodity': 0}",$233.73
