name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
AK-47 | Aquamarine Revenge (Battle-Scarred),AK-47 | Aquamarine Revenge (Battle-Scarred),122,1546,$15.46,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902755936', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV09-5gZKKkPLLMrfFqWNU6dNoxL3H94qm3Ffm_RE6amn2ctWXdlI2ZwqB-FG_w-7s0ZK-7cjLzyE37HI8pSGKrIDGOAI', 'tradable': 1, 'name': 'AK-47 | Aquamarine Revenge (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Aquamarine Revenge (Battle-Scarred)', 'market_hash_name': 'AK-47 | Aquamarine Revenge (Battle-Scarred)', 'commodity': 0}",$14.79
AK-47 | Aquamarine Revenge (Factory New),AK-47 | Aquamarine Revenge (Factory New),32,7300,$73.00,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4897682916', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV09-5gZKKkPLLMrfFqWdY781lxLuW8Njw31Dn8xc_YTqmJ4DDJFM2ZwqE_ATtx-u7g8C5vpjOzHM263E8pSGKJ1XuG9M', 'tradable': 1, 'name': 'AK-47 | Aquamarine Revenge (Factory New)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Aquamarine Revenge (Factory New)', 'market_hash_name': 'AK-47 | Aquamarine Revenge (Factory New)', 'commodity': 0}",$69.83
AK-47 | Aquamarine Revenge (Field-Tested),AK-47 | Aquamarine Revenge (Field-Tested),116,2606,$26.06,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '1011938131', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV09-5gZKKkPLLMrfFqWZU7Mxkh6eU896n0FXk-RJsNzv3cI-WJAA3YFDTqFa2l-u6jJW4uJqdyCBluyEm-z-DyCua9lLK', 'tradable': 1, 'name': 'AK-47 | Aquamarine Revenge (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Aquamarine Revenge (Field-Tested)', 'market_hash_name': 'AK-47 | Aquamarine Revenge (Field-Tested)', 'commodity': 0}",$24.93
AK-47 | Aquamarine Revenge (Minimal Wear),AK-47 | Aquamarine Revenge (Minimal Wear),85,4451,$44.51,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '1011983344', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV09-5gZKKkPLLMrfFqWdY781lxLuW8Njw31Dn8xc_YTqmJ4DDJFM2ZwqE_ATtx-u7g8C5vpjOzHM263E8pSGKJ1XuG9M', 'tradable': 1, 'name': 'AK-47 | Aquamarine Revenge (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Aquamarine Revenge (Minimal Wear)', 'market_hash_name': 'AK-47 | Aquamarine Revenge (Minimal Wear)', 'commodity': 0}",$42.58
AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge (Well-Worn),109,1795,$17.95,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '3237122997', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV09-5gZKKkPLLMrfFqWZU7Mxkh6eU896n0FXk-RJsNzv3cI-WJAA3YFDTqFa2l-u6jJW4uJqdyCBluyEm-z-DyCua9lLK', 'tradable': 1, 'name': 'AK-47 | Aquamarine Revenge (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Aquamarine Revenge (Well-Worn)', 'market_hash_name': 'AK-47 | Aquamarine Revenge (Well-Worn)', 'commodity': 0}",$17.17
AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov (Battle-Scarred),111,2175,$21.75,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4896426104', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV092lnYmGmOHLO77QgHIf6pwpiO-RrIms2AC1-0NkZGihItDBJFVqZgrS_1TswOjn0Z-1vZjMyGwj5HeH24gOlg', 'tradable': 1, 'name': 'AK-47 | Asiimov (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Asiimov (Battle-Scarred)', 'market_hash_name': 'AK-47 | Asiimov (Battle-Scarred)', 'commodity': 0}",$20.81
AK-47 | Asiimov (Factory New),AK-47 | Asiimov (Factory New),19,16902,$169.02,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4903350998', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV092lnYmGmOHLP7LWnn8fvpMkjOqS99Smiwzk_0VvamH0LIHEdwFqYw2G_QC3lefsjZS4uJXLyWwj5HclxVTx0A', 'tradable': 1, 'name': 'AK-47 | Asiimov (Factory New)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Asiimov (Factory New)', 'market_hash_name': 'AK-47 | Asiimov (Factory New)', 'commodity': 0}",$161.68
AK-47 | Asiimov (Field-Tested),AK-47 | Asiimov (Field-Tested),287,2840,$28.40,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4884063941', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV092lnYmGmOHLPr7Vn35cppQiiOuQpoml3wW18xdkNTjxd9CQdwM_ZlrT-lW_kLzu0560vp-azXJ9-n51Q5-Fea0', 'tradable': 1, 'name': 'AK-47 | Asiimov (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Asiimov (Field-Tested)', 'market_hash_name': 'AK-47 | Asiimov (Field-Tested)', 'commodity': 0}",$27.17
AK-47 | Asiimov (Minimal Wear),AK-47 | Asiimov (Minimal Wear),163,4424,$44.24,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4899081633', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV092lnYmGmOHLP7LWnn8fvpMkjOqS99Smiwzk_0VvamH0LIHEdwFqYw2G_QC3lefsjZS4uJXLyWwj5HclxVTx0A', 'tradable': 1, 'name': 'AK-47 | Asiimov (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Asiimov (Minimal Wear)', 'market_hash_name': 'AK-47 | Asiimov (Minimal Wear)', 'commodity': 0}",$42.32
AK-47 | Asiimov (Well-Worn),AK-47 | Asiimov (Well-Worn),66,2879,$28.79,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4903021057', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhjxszJemkV092lnYmGmOHLPr7Vn35cppQiiOuQpoml3wW18xdkNTjxd9CQdwM_ZlrT-lW_kLzu0560vp-azXJ9-n51Q5-Fea0', 'tradable': 1, 'name': 'AK-47 | Asiimov (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Covert Rifle', 'market_name': 'AK-47 | Asiimov (Well-Worn)', 'market_hash_name': 'AK-47 | Asiimov (Well-Worn)', 'commodity': 0}",$27.54
