name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
MAC-10 | Allure (Battle-Scarred),MAC-10 | Allure (Battle-Scarred),812,32,$0.32,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902759493', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJnZOEmPn6MoTZk2pH8Yt00rqSoN7w2w21-xBtYG_zdYCTe1c9aV-G81G6xrju0J_p6JzInXplpGB8shbAd2L1', 'tradable': 1, 'name': 'MAC-10 | Allure (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Allure (Battle-Scarred)', 'market_hash_name': 'MAC-10 | Allure (Battle-Scarred)', 'commodity': 0}",$0.31
MAC-10 | Allure (Factory New),MAC-10 | Allure (Factory New),118,164,$1.64,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4900187809', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJnZOEmPn6MoTdn2xZ_Ish2r3AoYjxjgOx8kBtazqldtOcegI6aQrRqVLsyebn08K47cufwSY3pGB8siSFIiRc', 'tradable': 1, 'name': 'MAC-10 | Allure (Factory New)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Allure (Factory New)', 'market_hash_name': 'MAC-10 | Allure (Factory New)', 'commodity': 0}",$1.57
MAC-10 | Allure (Field-Tested),MAC-10 | Allure (Field-Tested),924,41,$0.41,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4887315963', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJnZOEmPn6MoTck29Y_cg_27GX8dit0ALmrhZrMD3ycoSTcgQ7NwmGqAfoyOfog5Lqv8vBwXJquz5iuyiAT8wKtw', 'tradable': 1, 'name': 'MAC-10 | Allure (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Allure (Field-Tested)', 'market_hash_name': 'MAC-10 | Allure (Field-Tested)', 'commodity': 0}",$0.40
MAC-10 | Allure (Minimal Wear),MAC-10 | Allure (Minimal Wear),441,70,$0.70,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '3955277182', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJnZOEmPn6MoTdn2xZ_Ish2r3AoYjxjgOx8kBtazqldtOcegI6aQrRqVLsyebn08K47cufwSY3pGB8siSFIiRc', 'tradable': 1, 'name': 'MAC-10 | Allure (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Allure (Minimal Wear)', 'market_hash_name': 'MAC-10 | Allure (Minimal Wear)', 'commodity': 0}",$0.67
MAC-10 | Allure (Well-Worn),MAC-10 | Allure (Well-Worn),1044,36,$0.36,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902753243', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0Ob3fDxBvYyJnZOEmPn6MoTck29Y_cg_27GX8dit0ALmrhZrMD3ycoSTcgQ7NwmGqAfoyOfog5Lqv8vBwXJquz5iuyiAT8wKtw', 'tradable': 1, 'name': 'MAC-10 | Allure (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Restricted SMG', 'market_name': 'MAC-10 | Allure (Well-Worn)', 'market_hash_name': 'MAC-10 | Allure (Well-Worn)', 'commodity': 0}",$0.35
MAC-10 | Aloha (Battle-Scarred),MAC-10 | Aloha (Battle-Scarred),55,104,$1.04,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4895249866', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0v73fDxBvYyJlYyEn_bLO77QgHIf7pMj0rGZrNTx3FG3qhc6Nmj7ddXAewM-ZFmDrlnvx--6hZXu75nMyGwj5HdoFgj9Gw', 'tradable': 1, 'name': 'MAC-10 | Aloha (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'MAC-10 | Aloha (Battle-Scarred)', 'market_hash_name': 'MAC-10 | Aloha (Battle-Scarred)', 'commodity': 0}",$1.00
MAC-10 | Aloha (Factory New),MAC-10 | Aloha (Factory New),53,191,$1.91,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '2316441635', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0v73fDxBvYyJlYyEn_bLP7LWnn8f6sF00rjAp9yt3QW3rRdlNW77LNKTdAE6ZA7W8wC8yea6gJHp7Z7IwGwj5HdfySReLA', 'tradable': 1, 'name': 'MAC-10 | Aloha (Factory New)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'MAC-10 | Aloha (Factory New)', 'market_hash_name': 'MAC-10 | Aloha (Factory New)', 'commodity': 0}",$1.83
MAC-10 | Aloha (Field-Tested),MAC-10 | Aloha (Field-Tested),101,107,$1.07,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4900340590', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0v73fDxBvYyJlYyEn_bLPr7Vn35cpsFzjrHC94_xjQa3rhdoZGD6JICVdVc4M1mGrgTqlLvrgcDq7pvJzSd9-n51bVEb5g4', 'tradable': 1, 'name': 'MAC-10 | Aloha (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'MAC-10 | Aloha (Field-Tested)', 'market_hash_name': 'MAC-10 | Aloha (Field-Tested)', 'commodity': 0}",$1.03
MAC-10 | Aloha (Minimal Wear),MAC-10 | Aloha (Minimal Wear),79,163,$1.63,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '2316441525', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0v73fDxBvYyJlYyEn_bLP7LWnn8f6sF00rjAp9yt3QW3rRdlNW77LNKTdAE6ZA7W8wC8yea6gJHp7Z7IwGwj5HdfySReLA', 'tradable': 1, 'name': 'MAC-10 | Aloha (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'MAC-10 | Aloha (Minimal Wear)', 'market_hash_name': 'MAC-10 | Aloha (Minimal Wear)', 'commodity': 0}",$1.56
MAC-10 | Aloha (Well-Worn),MAC-10 | Aloha (Well-Worn),23,116,$1.16,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '2316482560', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0v73fDxBvYyJlYyEn_bLPr7Vn35cpsFzjrHC94_xjQa3rhdoZGD6JICVdVc4M1mGrgTqlLvrgcDq7pvJzSd9-n51bVEb5g4', 'tradable': 1, 'name': 'MAC-10 | Aloha (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'MAC-10 | Aloha (Well-Worn)', 'market_hash_name': 'MAC-10 | Aloha (Well-Worn)', 'commodity': 0}",$1.11
MAC-10 | Amber Fade (Factory New),MAC-10 | Amber Fade (Factory New),28,993,$9.93,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310778998', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7umeldf0vL3dzxG6eO7kZSKm_v9MITdn2xZ_Isgi--V9NWmjVLhrRY5Yj_yIYeVJgU4ZQ7V_gW_kOnshZK7uJXPySc1pGB8stDfIj7b', 'tradable': 1, 'name': 'MAC-10 | Amber Fade (Factory New)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade SMG', 'market_name': 'MAC-10 | Amber Fade (Factory New)', 'market_hash_name': 'MAC-10 | Amber Fade (Factory New)', 'commodity': 0}",$9.50
