name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
MAG-7 | BI83 Spectrum (Battle-Scarred),MAG-7 | BI83 Spectrum (Battle-Scarred),114,37,$0.37,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4578725128', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhnwMzFcDoV096_h42eg__LO77QgHIfv5Ahj-uXp9qt2wPl_0BuZDj6Jdede1VtMgrX8lK9xe6808O46JjAnWwj5HfgpdvKHg', 'tradable': 1, 'name': 'MAG-7 | BI83 Spectrum (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | BI83 Spectrum (Battle-Scarred)', 'market_hash_name': 'MAG-7 | BI83 Spectrum (Battle-Scarred)', 'commodity': 0}",$0.36
MAG-7 | BI83 Spectrum (Factory New),MAG-7 | BI83 Spectrum (Factory New),89,156,$1.56,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902760832', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhnwMzFcDoV096_h42eg__LP7LWnn8f7pB1jLyY99ml2gC2-UA9YjqiJY6Sew47M1_W_1Hrwu3o1MLo7ZmbzWwj5HflR4r9BA', 'tradable': 1, 'name': 'MAG-7 | BI83 Spectrum (Factory New)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | BI83 Spectrum (Factory New)', 'market_hash_name': 'MAG-7 | BI83 Spectrum (Factory New)', 'commodity': 0}",$1.50
MAG-7 | BI83 Spectrum (Field-Tested),MAG-7 | BI83 Spectrum (Field-Tested),435,41,$0.41,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902761121', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhnwMzFcDoV096_h42eg__LPr7Vn35cppAiieuWodmnjVWx_UM9Zmn0ddCTelJqNFjVrlm8kOi8057vv5uaznF9-n51IdzzBog', 'tradable': 1, 'name': 'MAG-7 | BI83 Spectrum (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | BI83 Spectrum (Field-Tested)', 'market_hash_name': 'MAG-7 | BI83 Spectrum (Field-Tested)', 'commodity': 0}",$0.40
MAG-7 | BI83 Spectrum (Minimal Wear),MAG-7 | BI83 Spectrum (Minimal Wear),198,88,$0.88,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4902767106', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhnwMzFcDoV096_h42eg__LP7LWnn8f7pB1jLyY99ml2gC2-UA9YjqiJY6Sew47M1_W_1Hrwu3o1MLo7ZmbzWwj5HflR4r9BA', 'tradable': 1, 'name': 'MAG-7 | BI83 Spectrum (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | BI83 Spectrum (Minimal Wear)', 'market_hash_name': 'MAG-7 | BI83 Spectrum (Minimal Wear)', 'commodity': 0}",$0.85
MAG-7 | BI83 Spectrum (Well-Worn),MAG-7 | BI83 Spectrum (Well-Worn),112,38,$0.38,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901474120', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhnwMzFcDoV096_h42eg__LPr7Vn35cppAiieuWodmnjVWx_UM9Zmn0ddCTelJqNFjVrlm8kOi8057vv5uaznF9-n51IdzzBog', 'tradable': 1, 'name': 'MAG-7 | BI83 Spectrum (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | BI83 Spectrum (Well-Worn)', 'market_hash_name': 'MAG-7 | BI83 Spectrum (Well-Worn)', 'commodity': 0}",$0.37
MAG-7 | Bulldozer (Battle-Scarred),MAG-7 | Bulldozer (Battle-Scarred),47,231,$2.31,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310779916', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhz3MzRdDFO48uJnIWKge66ZeuHzjMEu8Yk3LyUo4mijgDn_RVrZzumddPGcVJoZAzQr1jsw-65hoj84sp82E9QXw', 'tradable': 1, 'name': 'MAG-7 | Bulldozer (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | Bulldozer (Battle-Scarred)', 'market_hash_name': 'MAG-7 | Bulldozer (Battle-Scarred)', 'commodity': 0}",$2.21
MAG-7 | Bulldozer (Factory New),MAG-7 | Bulldozer (Factory New),3,8205,$82.05,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310789536', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhz3MzRdDFO48uJmImMn-O6MbmDkz0DsJVy2-2Yp42g3wC38kBtYWqnI4_BdwE8ZVrX_AXsx-e5hoj84soOlvx0qw', 'tradable': 1, 'name': 'MAG-7 | Bulldozer (Factory New)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | Bulldozer (Factory New)', 'market_hash_name': 'MAG-7 | Bulldozer (Factory New)', 'commodity': 0}",$78.49
MAG-7 | Bulldozer (Field-Tested),MAG-7 | Bulldozer (Field-Tested),84,248,$2.48,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901541584', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhz3MzRdDFO48uJmYWPnuL5feyJkG4CsMMl2bjA89T03VbjrkNoNW6nLIfBcwM2YlqD_FG_yLjq1JGi_MOee-VidpY', 'tradable': 1, 'name': 'MAG-7 | Bulldozer (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | Bulldozer (Field-Tested)', 'market_hash_name': 'MAG-7 | Bulldozer (Field-Tested)', 'commodity': 0}",$2.38
MAG-7 | Bulldozer (Minimal Wear),MAG-7 | Bulldozer (Minimal Wear),42,1093,$10.93,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310777879', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhz3MzRdDFO48uJmImMn-O6MbmDkz0DsJVy2-2Yp42g3wC38kBtYWqnI4_BdwE8ZVrX_AXsx-e5hoj84soOlvx0qw', 'tradable': 1, 'name': 'MAG-7 | Bulldozer (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | Bulldozer (Minimal Wear)', 'market_hash_name': 'MAG-7 | Bulldozer (Minimal Wear)', 'commodity': 0}",$10.46
MAG-7 | Bulldozer (Well-Worn),MAG-7 | Bulldozer (Well-Worn),24,237,$2.37,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '310782686', 'instanceid': '0', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpou7uifDhz3MzRdDFO48uJmYWPnuL5feyJkG4CsMMl2bjA89T03VbjrkNoNW6nLIfBcwM2YlqD_FG_yLjq1JGi_MOee-VidpY', 'tradable': 1, 'name': 'MAG-7 | Bulldozer (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Restricted Shotgun', 'market_name': 'MAG-7 | Bulldozer (Well-Worn)', 'market_hash_name': 'MAG-7 | Bulldozer (Well-Worn)', 'commodity': 0}",$2.27
