name,hash_name,sell_listings,sell_price,sell_price_text,app_icon,app_name,asset_description,sale_price_text
AWP | Acheron (Battle-Scarred),AWP | Acheron (Battle-Scarred),398,69,$0.69,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901528625', 'instanceid': '302028390', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FA957P3dcjFH7c6Jh4uem_vnDKnUkmld_cBOguzA45W72gyxqUdlMWH2LI6QegM-Y1vUqAXsyLq-gZft7ZrNmCQ1syFz7HrcyQv3308o-mLh1Q', 'tradable': 1, 'name': 'AWP | Acheron (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Sniper Rifle', 'market_name': 'AWP | Acheron (Battle-Scarred)', 'market_hash_name': 'AWP | Acheron (Battle-Scarred)', 'commodity': 0}",$0.66
AWP | Acheron (Factory New),AWP | Acheron (Factory New),217,318,$3.18,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '3035942725', 'instanceid': '302028390', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FA957P3dcjFH7c6Jh4uem_vnDKnUkmld_cBOhuDG_Zi73gTlqhJuYD_6LYDGdg4-Z1zQrFW9yLvvgMC-vJmazCA3vXZzsy7Zlgv3308OIiH5Ag', 'tradable': 1, 'name': 'AWP | Acheron (Factory New)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Sniper Rifle', 'market_name': 'AWP | Acheron (Factory New)', 'market_hash_name': 'AWP | Acheron (Factory New)', 'commodity': 0}",$3.05
AWP | Acheron (Field-Tested),AWP | Acheron (Field-Tested),974,76,$0.76,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4903678249', 'instanceid': '302028390', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FA957P3dcjFH7c6Jh4uem_vnDKnUkmld_cBOh-zF_Jn4xlHm-0U6ZGv1coGTIwRsZAnY_lLvkuq-18To6JnPn3E26HMq7X7YzEGpwUYbDS-LXA0', 'tradable': 1, 'name': 'AWP | Acheron (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Sniper Rifle', 'market_name': 'AWP | Acheron (Field-Tested)', 'market_hash_name': 'AWP | Acheron (Field-Tested)', 'commodity': 0}",$0.73
AWP | Acheron (Minimal Wear),AWP | Acheron (Minimal Wear),462,147,$1.47,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4903664080', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FA957P3dcjFH7c6Jh4uem_vnDKnUkmld_cBOhuDG_Zi73gTlqhJuYD_6LYDGdg4-Z1zQrFW9yLvvgMC-vJmazCA3vXZzsy7Zlgv3308OIiH5Ag', 'tradable': 1, 'name': 'AWP | Acheron (Minimal Wear)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Sniper Rifle', 'market_name': 'AWP | Acheron (Minimal Wear)', 'market_hash_name': 'AWP | Acheron (Minimal Wear)', 'commodity': 0}",$1.41
AWP | Acheron (Well-Worn),AWP | Acheron (Well-Worn),218,109,$1.09,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4898348249', 'instanceid': '302028390', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FA957P3dcjFH7c6Jh4uem_vnDKnUkmld_cBOh-zF_Jn4xlHm-0U6ZGv1coGTIwRsZAnY_lLvkuq-18To6JnPn3E26HMq7X7YzEGpwUYbDS-LXA0', 'tradable': 1, 'name': 'AWP | Acheron (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Mil-Spec Grade Sniper Rifle', 'market_name': 'AWP | Acheron (Well-Worn)', 'market_hash_name': 'AWP | Acheron (Well-Worn)', 'commodity': 0}",$1.05
AWP | Asiimov (Battle-Scarred),AWP | Asiimov (Battle-Scarred),197,6343,$63.43,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4895229081', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAR17PLfYQJD_9W7m5a0n_L1JaKfzzoGuJJ02e2W8d6m2gztrkRoZmigItDGcgA_N1iFqwC-xr_m1J-57YOJlyVerprbwA', 'tradable': 1, 'name': 'AWP | Asiimov (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Covert Sniper Rifle', 'market_name': 'AWP | Asiimov (Battle-Scarred)', 'market_hash_name': 'AWP | Asiimov (Battle-Scarred)', 'commodity': 0}",$60.68
AWP | Asiimov (Field-Tested),AWP | Asiimov (Field-Tested),164,11542,$115.42,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4901811497', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAR17PLfYQJD_9W7m5a0mvLwOq7c2G9SupUijOjAotyg3w2x_0ZkZ2rzd4OXdgRoYQuE8gDtyL_mg5K4tJ7XiSw0WqKv8kM', 'tradable': 1, 'name': 'AWP | Asiimov (Field-Tested)', 'name_color': 'D2D2D2', 'type': 'Covert Sniper Rifle', 'market_name': 'AWP | Asiimov (Field-Tested)', 'market_hash_name': 'AWP | Asiimov (Field-Tested)', 'commodity': 0}",$110.41
AWP | Asiimov (Well-Worn),AWP | Asiimov (Well-Worn),53,8369,$83.69,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '4903105817', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAR17PLfYQJD_9W7m5a0mvLwOq7c2G9SupUijOjAotyg3w2x_0ZkZ2rzd4OXdgRoYQuE8gDtyL_mg5K4tJ7XiSw0WqKv8kM', 'tradable': 1, 'name': 'AWP | Asiimov (Well-Worn)', 'name_color': 'D2D2D2', 'type': 'Covert Sniper Rifle', 'market_name': 'AWP | Asiimov (Well-Worn)', 'market_hash_name': 'AWP | Asiimov (Well-Worn)', 'commodity': 0}",$80.06
AWP | Atheris (Battle-Scarred),AWP | Atheris (Battle-Scarred),618,178,$1.78,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '3220860230', 'instanceid': '480085569', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAR17PLfYQJU5cyzhr-DkvbiKvWJwWkD7JJz07mV9IiijAe3_RZsN277dYecegE2ZwvW-Vbtwe6-0Ja6ot2XniH6VW3j', 'tradable': 1, 'name': 'AWP | Atheris (Battle-Scarred)', 'name_color': 'D2D2D2', 'type': 'Restricted Sniper Rifle', 'market_name': 'AWP | Atheris (Battle-Scarred)', 'market_hash_name': 'AWP | Atheris (Battle-Scarred)', 'commodity': 0}",$1.71
AWP | Atheris (Factory New),AWP | Atheris (Factory New),150,1292,$12.92,https://cdn.cloudflare.steamstatic.com/steamcommunity/public/images/apps/730/69f7ebe2735c366c65c0b33dae00e12dc40edbe4.jpg,Counter-Strike: Global Offensive,"{'appid': 730, 'classid': '3281554840', 'instanceid': '188530139', 'background_color': '', 'icon_url': '-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAR17PLfYQJU5cyzhr-HnvD8J_WDkm4GvZEh0uiW9tms3Qfl-Rdpa2vzJ9CQcVU5YgnTq1C2l7--gce_ot2XnpAZ32EI', 'tradable': 1, 'name': 'AWP | Atheris (Factory New)', 'name_color': 'D2D2D2', 'type': 'Restricted Sniper Rifle', 'market_name': 'AWP | Atheris (Factory New)', 'market_hash_name': 'AWP | Atheris (Factory New)', 'commodity': 0}",$12.36
