success,price_prefix,price_suffix,name,date,price,volume
True,$,,CZ75-Auto | Army Sheen (Factory New),May 27 2015 01: +0,0.287,1382
True,$,,CZ75-Auto | Army Sheen (Factory New),May 28 2015 01: +0,0.435,1406
True,$,,CZ75-Auto | Army Sheen (Factory New),May 29 2015 01: +0,0.432,822
True,$,,CZ75-Auto | Army Sheen (Factory New),May 30 2015 01: +0,0.471,586
True,$,,CZ75-Auto | Army Sheen (Factory New),May 31 2015 01: +0,0.587,471
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 01 2015 01: +0,0.712,326
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 02 2015 01: +0,0.89,270
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 03 2015 01: +0,0.368,2325
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 04 2015 01: +0,0.306,1432
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 05 2015 01: +0,0.389,1031
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 06 2015 01: +0,0.389,764
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 07 2015 01: +0,0.396,598
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 08 2015 01: +0,0.376,466
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 09 2015 01: +0,0.406,414
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 10 2015 01: +0,0.259,2013
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 11 2015 01: +0,0.255,1376
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 12 2015 01: +0,0.249,1132
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 13 2015 01: +0,0.288,1045
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 14 2015 01: +0,0.269,880
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 15 2015 01: +0,0.311,726
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 16 2015 01: +0,0.368,556
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 17 2015 01: +0,0.224,1904
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 18 2015 01: +0,0.255,1469
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 19 2015 01: +0,0.222,1119
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 20 2015 01: +0,0.251,1155
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 21 2015 01: +0,0.247,968
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 22 2015 01: +0,0.265,743
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 23 2015 01: +0,0.289,615
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 24 2015 01: +0,0.23,1949
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 25 2015 01: +0,0.208,1529
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 26 2015 01: +0,0.227,1237
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 27 2015 01: +0,0.274,1366
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 28 2015 01: +0,0.29,982
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 29 2015 01: +0,0.28,970
True,$,,CZ75-Auto | Army Sheen (Factory New),Jun 30 2015 01: +0,0.337,823
True,$,,CZ75-Auto | Army Sheen (Factory New),Jul 01 2015 01: +0,0.261,2516
True,$,,CZ75-Auto | Army Sheen (Factory New),Jul 02 2015 01: +0,0.243,1425
