name,date,price,volume
CZ75-Auto | Army Sheen (Factory New),5/27/2015 1:00,0.287,1382
CZ75-Auto | Army Sheen (Factory New),5/28/2015 1:00,0.435,1406
CZ75-Auto | Army Sheen (Factory New),5/29/2015 1:00,0.432,822
CZ75-Auto | Army Sheen (Factory New),5/30/2015 1:00,0.471,586
CZ75-Auto | Army Sheen (Factory New),5/31/2015 1:00,0.587,471
CZ75-Auto | Army Sheen (Factory New),6/1/2015 1:00,0.712,326
CZ75-Auto | Army Sheen (Factory New),6/2/2015 1:00,0.89,270
CZ75-Auto | Army Sheen (Factory New),6/3/2015 1:00,0.368,2325
CZ75-Auto | Army Sheen (Factory New),6/4/2015 1:00,0.306,1432
CZ75-Auto | Army Sheen (Factory New),6/5/2015 1:00,0.389,1031
CZ75-Auto | Army Sheen (Factory New),6/6/2015 1:00,0.389,764
CZ75-Auto | Army Sheen (Factory New),6/7/2015 1:00,0.396,598
CZ75-Auto | Army Sheen (Factory New),6/8/2015 1:00,0.376,466
CZ75-Auto | Army Sheen (Factory New),6/9/2015 1:00,0.406,414
CZ75-Auto | Army Sheen (Factory New),6/10/2015 1:00,0.259,2013
CZ75-Auto | Army Sheen (Factory New),6/11/2015 1:00,0.255,1376
CZ75-Auto | Army Sheen (Factory New),6/12/2015 1:00,0.249,1132
CZ75-Auto | Army Sheen (Factory New),6/13/2015 1:00,0.288,1045
CZ75-Auto | Army Sheen (Factory New),6/14/2015 1:00,0.269,880
CZ75-Auto | Army Sheen (Factory New),6/15/2015 1:00,0.311,726
CZ75-Auto | Army Sheen (Factory New),6/16/2015 1:00,0.368,556
CZ75-Auto | Army Sheen (Factory New),6/17/2015 1:00,0.224,1904
CZ75-Auto | Army Sheen (Factory New),6/18/2015 1:00,0.255,1469
CZ75-Auto | Army Sheen (Factory New),6/19/2015 1:00,0.222,1119
CZ75-Auto | Army Sheen (Factory New),6/20/2015 1:00,0.251,1155
CZ75-Auto | Army Sheen (Factory New),6/21/2015 1:00,0.247,968
CZ75-Auto | Army Sheen (Factory New),6/22/2015 1:00,0.265,743
CZ75-Auto | Army Sheen (Factory New),6/23/2015 1:00,0.289,615
CZ75-Auto | Army Sheen (Factory New),6/24/2015 1:00,0.23,1949
CZ75-Auto | Army Sheen (Factory New),6/25/2015 1:00,0.208,1529
CZ75-Auto | Army Sheen (Factory New),6/26/2015 1:00,0.227,1237
CZ75-Auto | Army Sheen (Factory New),6/27/2015 1:00,0.274,1366
CZ75-Auto | Army Sheen (Factory New),6/28/2015 1:00,0.29,982
CZ75-Auto | Army Sheen (Factory New),6/29/2015 1:00,0.28,970
CZ75-Auto | Army Sheen (Factory New),6/30/2015 1:00,0.337,823
CZ75-Auto | Army Sheen (Factory New),7/1/2015 1:00,0.261,2516
CZ75-Auto | Army Sheen (Factory New),7/2/2015 1:00,0.243,1425
CZ75-Auto | Army Sheen (Factory New),7/3/2015 1:00,0.261,1197
CZ75-Auto | Army Sheen (Factory New),7/4/2015 1:00,0.262,1021
CZ75-Auto | Army Sheen (Factory New),7/5/2015 1:00,0.257,836
CZ75-Auto | Army Sheen (Factory New),7/6/2015 1:00,0.282,881
CZ75-Auto | Army Sheen (Factory New),7/7/2015 1:00,0.296,860
CZ75-Auto | Army Sheen (Factory New),7/8/2015 1:00,0.228,2000
CZ75-Auto | Army Sheen (Factory New),7/9/2015 1:00,0.217,1506
CZ75-Auto | Army Sheen (Factory New),7/10/2015 1:00,0.231,1231
CZ75-Auto | Army Sheen (Factory New),7/11/2015 1:00,0.241,1136
CZ75-Auto | Army Sheen (Factory New),7/12/2015 1:00,0.245,1028
CZ75-Auto | Army Sheen (Factory New),7/13/2015 1:00,0.247,981
CZ75-Auto | Army Sheen (Factory New),7/14/2015 1:00,0.252,851
CZ75-Auto | Army Sheen (Factory New),7/15/2015 1:00,0.197,2131
CZ75-Auto | Army Sheen (Factory New),7/16/2015 1:00,0.206,1628
CZ75-Auto | Army Sheen (Factory New),7/17/2015 1:00,0.224,1346
CZ75-Auto | Army Sheen (Factory New),7/18/2015 1:00,0.235,969
CZ75-Auto | Army Sheen (Factory New),7/19/2015 1:00,0.233,1174
CZ75-Auto | Army Sheen (Factory New),7/20/2015 1:00,0.237,964
CZ75-Auto | Army Sheen (Factory New),7/21/2015 1:00,0.232,899
CZ75-Auto | Army Sheen (Factory New),7/22/2015 1:00,0.203,1753
CZ75-Auto | Army Sheen (Factory New),7/23/2015 1:00,0.186,1619
CZ75-Auto | Army Sheen (Factory New),7/24/2015 1:00,0.208,1407
CZ75-Auto | Army Sheen (Factory New),7/25/2015 1:00,0.214,1332
CZ75-Auto | Army Sheen (Factory New),7/26/2015 1:00,0.233,1060
CZ75-Auto | Army Sheen (Factory New),7/27/2015 1:00,0.242,1439
CZ75-Auto | Army Sheen (Factory New),7/28/2015 1:00,0.279,979
CZ75-Auto | Army Sheen (Factory New),7/29/2015 1:00,0.207,1814
CZ75-Auto | Army Sheen (Factory New),7/30/2015 1:00,0.2,1614
CZ75-Auto | Army Sheen (Factory New),7/31/2015 1:00,0.208,1376
CZ75-Auto | Army Sheen (Factory New),8/1/2015 1:00,0.213,1262
CZ75-Auto | Army Sheen (Factory New),8/2/2015 1:00,0.213,1017
CZ75-Auto | Army Sheen (Factory New),8/3/2015 1:00,0.218,993
CZ75-Auto | Army Sheen (Factory New),8/4/2015 1:00,0.218,1168
CZ75-Auto | Army Sheen (Factory New),8/5/2015 1:00,0.197,2385
CZ75-Auto | Army Sheen (Factory New),8/6/2015 1:00,0.191,1456
CZ75-Auto | Army Sheen (Factory New),8/7/2015 1:00,0.2,1689
CZ75-Auto | Army Sheen (Factory New),8/8/2015 1:00,0.206,1351
CZ75-Auto | Army Sheen (Factory New),8/9/2015 1:00,0.202,1238
CZ75-Auto | Army Sheen (Factory New),8/10/2015 1:00,0.207,1159
CZ75-Auto | Army Sheen (Factory New),8/11/2015 1:00,0.206,1022
CZ75-Auto | Army Sheen (Factory New),8/12/2015 1:00,0.181,2094
CZ75-Auto | Army Sheen (Factory New),8/13/2015 1:00,0.182,1606
CZ75-Auto | Army Sheen (Factory New),8/14/2015 1:00,0.175,1633
CZ75-Auto | Army Sheen (Factory New),8/15/2015 1:00,0.146,1721
CZ75-Auto | Army Sheen (Factory New),8/16/2015 1:00,0.158,1493
CZ75-Auto | Army Sheen (Factory New),8/17/2015 1:00,0.157,1225
CZ75-Auto | Army Sheen (Factory New),8/18/2015 1:00,0.161,1044
CZ75-Auto | Army Sheen (Factory New),8/19/2015 1:00,0.139,2124
CZ75-Auto | Army Sheen (Factory New),8/20/2015 1:00,0.124,1611
CZ75-Auto | Army Sheen (Factory New),8/21/2015 1:00,0.134,1859
CZ75-Auto | Army Sheen (Factory New),8/22/2015 1:00,0.158,1697
CZ75-Auto | Army Sheen (Factory New),8/23/2015 1:00,0.143,1850
CZ75-Auto | Army Sheen (Factory New),8/24/2015 1:00,0.172,1545
CZ75-Auto | Army Sheen (Factory New),8/25/2015 1:00,0.213,1230
CZ75-Auto | Army Sheen (Factory New),8/26/2015 1:00,0.179,2238
CZ75-Auto | Army Sheen (Factory New),8/27/2015 1:00,0.172,2034
CZ75-Auto | Army Sheen (Factory New),8/28/2015 1:00,0.183,1537
CZ75-Auto | Army Sheen (Factory New),8/29/2015 1:00,0.201,1491
CZ75-Auto | Army Sheen (Factory New),8/30/2015 1:00,0.214,1571
CZ75-Auto | Army Sheen (Factory New),8/31/2015 1:00,0.22,1197
CZ75-Auto | Army Sheen (Factory New),9/1/2015 1:00,0.222,1043
CZ75-Auto | Army Sheen (Factory New),9/2/2015 1:00,0.19,2091
CZ75-Auto | Army Sheen (Factory New),9/3/2015 1:00,0.183,1877
CZ75-Auto | Army Sheen (Factory New),9/4/2015 1:00,0.181,1466
CZ75-Auto | Army Sheen (Factory New),9/5/2015 1:00,0.193,1764
CZ75-Auto | Army Sheen (Factory New),9/6/2015 1:00,0.2,1292
CZ75-Auto | Army Sheen (Factory New),9/7/2015 1:00,0.195,1063
CZ75-Auto | Army Sheen (Factory New),9/8/2015 1:00,0.201,991
CZ75-Auto | Army Sheen (Factory New),9/9/2015 1:00,0.18,1813
CZ75-Auto | Army Sheen (Factory New),9/10/2015 1:00,0.179,2007
CZ75-Auto | Army Sheen (Factory New),9/11/2015 1:00,0.179,1744
CZ75-Auto | Army Sheen (Factory New),9/12/2015 1:00,0.198,1762
CZ75-Auto | Army Sheen (Factory New),9/13/2015 1:00,0.202,1766
CZ75-Auto | Army Sheen (Factory New),9/14/2015 1:00,0.2,1105
CZ75-Auto | Army Sheen (Factory New),9/15/2015 1:00,0.211,1196
CZ75-Auto | Army Sheen (Factory New),9/16/2015 1:00,0.187,2094
CZ75-Auto | Army Sheen (Factory New),9/17/2015 1:00,0.181,1961
CZ75-Auto | Army Sheen (Factory New),9/18/2015 1:00,0.17,2324
CZ75-Auto | Army Sheen (Factory New),9/19/2015 1:00,0.17,2399
CZ75-Auto | Army Sheen (Factory New),9/20/2015 1:00,0.181,1758
CZ75-Auto | Army Sheen (Factory New),9/21/2015 1:00,0.183,1566
CZ75-Auto | Army Sheen (Factory New),9/22/2015 1:00,0.194,1583
CZ75-Auto | Army Sheen (Factory New),9/23/2015 1:00,0.174,2603
CZ75-Auto | Army Sheen (Factory New),9/24/2015 1:00,0.159,1962
CZ75-Auto | Army Sheen (Factory New),9/25/2015 1:00,0.166,2226
CZ75-Auto | Army Sheen (Factory New),9/26/2015 1:00,0.185,2212
CZ75-Auto | Army Sheen (Factory New),9/27/2015 1:00,0.184,1691
CZ75-Auto | Army Sheen (Factory New),9/28/2015 1:00,0.197,1510
CZ75-Auto | Army Sheen (Factory New),9/29/2015 1:00,0.208,1326
CZ75-Auto | Army Sheen (Factory New),9/30/2015 1:00,0.186,2243
CZ75-Auto | Army Sheen (Factory New),10/1/2015 1:00,0.184,2200
CZ75-Auto | Army Sheen (Factory New),10/2/2015 1:00,0.199,1310
CZ75-Auto | Army Sheen (Factory New),10/3/2015 1:00,0.201,1458
CZ75-Auto | Army Sheen (Factory New),10/4/2015 1:00,0.227,1273
CZ75-Auto | Army Sheen (Factory New),10/5/2015 1:00,0.34,1826
CZ75-Auto | Army Sheen (Factory New),10/6/2015 1:00,0.349,957
CZ75-Auto | Army Sheen (Factory New),10/7/2015 1:00,0.345,1037
CZ75-Auto | Army Sheen (Factory New),10/8/2015 1:00,0.391,819
CZ75-Auto | Army Sheen (Factory New),10/9/2015 1:00,0.406,917
CZ75-Auto | Army Sheen (Factory New),10/10/2015 1:00,0.414,729
CZ75-Auto | Army Sheen (Factory New),10/11/2015 1:00,0.38,694
CZ75-Auto | Army Sheen (Factory New),10/12/2015 1:00,0.365,730
CZ75-Auto | Army Sheen (Factory New),10/13/2015 1:00,0.365,798
CZ75-Auto | Army Sheen (Factory New),10/14/2015 1:00,0.372,698
CZ75-Auto | Army Sheen (Factory New),10/15/2015 1:00,0.353,579
CZ75-Auto | Army Sheen (Factory New),10/16/2015 1:00,0.365,517
CZ75-Auto | Army Sheen (Factory New),10/17/2015 1:00,0.369,648
CZ75-Auto | Army Sheen (Factory New),10/18/2015 1:00,0.361,591
CZ75-Auto | Army Sheen (Factory New),10/19/2015 1:00,0.349,552
CZ75-Auto | Army Sheen (Factory New),10/20/2015 1:00,0.341,433
CZ75-Auto | Army Sheen (Factory New),10/21/2015 1:00,0.347,620
CZ75-Auto | Army Sheen (Factory New),10/22/2015 1:00,0.305,438
CZ75-Auto | Army Sheen (Factory New),10/23/2015 1:00,0.326,671
CZ75-Auto | Army Sheen (Factory New),10/24/2015 1:00,0.344,558
CZ75-Auto | Army Sheen (Factory New),10/25/2015 1:00,0.362,643
CZ75-Auto | Army Sheen (Factory New),10/26/2015 1:00,0.367,399
CZ75-Auto | Army Sheen (Factory New),10/27/2015 1:00,0.361,401
CZ75-Auto | Army Sheen (Factory New),10/28/2015 1:00,0.319,579
CZ75-Auto | Army Sheen (Factory New),10/29/2015 1:00,0.31,494
CZ75-Auto | Army Sheen (Factory New),10/30/2015 1:00,0.345,540
CZ75-Auto | Army Sheen (Factory New),10/31/2015 1:00,0.348,594
CZ75-Auto | Army Sheen (Factory New),11/1/2015 1:00,0.308,730
CZ75-Auto | Army Sheen (Factory New),11/2/2015 1:00,0.316,520
CZ75-Auto | Army Sheen (Factory New),11/3/2015 1:00,0.352,363
CZ75-Auto | Army Sheen (Factory New),11/4/2015 1:00,0.371,336
CZ75-Auto | Army Sheen (Factory New),11/5/2015 1:00,0.389,264
CZ75-Auto | Army Sheen (Factory New),11/6/2015 1:00,0.39,379
CZ75-Auto | Army Sheen (Factory New),11/7/2015 1:00,0.402,455
CZ75-Auto | Army Sheen (Factory New),11/8/2015 1:00,0.422,365
CZ75-Auto | Army Sheen (Factory New),11/9/2015 1:00,0.409,339
CZ75-Auto | Army Sheen (Factory New),11/10/2015 1:00,0.417,264
CZ75-Auto | Army Sheen (Factory New),11/11/2015 1:00,0.398,251
CZ75-Auto | Army Sheen (Factory New),11/12/2015 1:00,0.405,231
CZ75-Auto | Army Sheen (Factory New),11/13/2015 1:00,0.412,287
CZ75-Auto | Army Sheen (Factory New),11/14/2015 1:00,0.434,321
CZ75-Auto | Army Sheen (Factory New),11/15/2015 1:00,0.431,270
CZ75-Auto | Army Sheen (Factory New),11/16/2015 1:00,0.386,243
CZ75-Auto | Army Sheen (Factory New),11/17/2015 1:00,0.386,249
CZ75-Auto | Army Sheen (Factory New),11/18/2015 1:00,0.423,210
CZ75-Auto | Army Sheen (Factory New),11/19/2015 1:00,0.404,244
CZ75-Auto | Army Sheen (Factory New),11/20/2015 1:00,0.412,253
CZ75-Auto | Army Sheen (Factory New),11/21/2015 1:00,0.453,337
CZ75-Auto | Army Sheen (Factory New),11/22/2015 1:00,0.402,212
CZ75-Auto | Army Sheen (Factory New),11/23/2015 1:00,0.397,168
CZ75-Auto | Army Sheen (Factory New),11/24/2015 1:00,0.39,279
CZ75-Auto | Army Sheen (Factory New),11/25/2015 1:00,0.394,213
CZ75-Auto | Army Sheen (Factory New),11/26/2015 1:00,0.339,246
CZ75-Auto | Army Sheen (Factory New),11/27/2015 1:00,0.345,343
CZ75-Auto | Army Sheen (Factory New),11/28/2015 1:00,0.369,303
CZ75-Auto | Army Sheen (Factory New),11/29/2015 1:00,0.355,365
CZ75-Auto | Army Sheen (Factory New),11/30/2015 1:00,0.335,237
CZ75-Auto | Army Sheen (Factory New),12/1/2015 1:00,0.359,340
CZ75-Auto | Army Sheen (Factory New),12/2/2015 1:00,0.431,195
CZ75-Auto | Army Sheen (Factory New),12/3/2015 1:00,0.493,172
CZ75-Auto | Army Sheen (Factory New),12/4/2015 1:00,0.541,188
CZ75-Auto | Army Sheen (Factory New),12/5/2015 1:00,0.558,243
CZ75-Auto | Army Sheen (Factory New),12/6/2015 1:00,0.557,188
CZ75-Auto | Army Sheen (Factory New),12/7/2015 1:00,0.501,193
CZ75-Auto | Army Sheen (Factory New),12/8/2015 1:00,0.49,225
CZ75-Auto | Army Sheen (Factory New),12/9/2015 1:00,0.471,200
CZ75-Auto | Army Sheen (Factory New),12/10/2015 1:00,0.45,155
CZ75-Auto | Army Sheen (Factory New),12/11/2015 1:00,0.497,173
CZ75-Auto | Army Sheen (Factory New),12/12/2015 1:00,0.539,224
CZ75-Auto | Army Sheen (Factory New),12/13/2015 1:00,0.51,155
CZ75-Auto | Army Sheen (Factory New),12/14/2015 1:00,0.474,139
CZ75-Auto | Army Sheen (Factory New),12/15/2015 1:00,0.455,101
CZ75-Auto | Army Sheen (Factory New),12/16/2015 1:00,0.465,150
CZ75-Auto | Army Sheen (Factory New),12/17/2015 1:00,0.494,110
CZ75-Auto | Army Sheen (Factory New),12/18/2015 1:00,0.485,147
CZ75-Auto | Army Sheen (Factory New),12/19/2015 1:00,0.461,133
CZ75-Auto | Army Sheen (Factory New),12/20/2015 1:00,0.493,173
CZ75-Auto | Army Sheen (Factory New),12/21/2015 1:00,0.475,122
CZ75-Auto | Army Sheen (Factory New),12/22/2015 1:00,0.43,152
CZ75-Auto | Army Sheen (Factory New),12/23/2015 1:00,0.39,266
CZ75-Auto | Army Sheen (Factory New),12/24/2015 1:00,0.409,158
CZ75-Auto | Army Sheen (Factory New),12/25/2015 1:00,0.415,229
CZ75-Auto | Army Sheen (Factory New),12/26/2015 1:00,0.452,226
CZ75-Auto | Army Sheen (Factory New),12/27/2015 1:00,0.511,199
CZ75-Auto | Army Sheen (Factory New),12/28/2015 1:00,0.519,199
CZ75-Auto | Army Sheen (Factory New),12/29/2015 1:00,0.537,215
CZ75-Auto | Army Sheen (Factory New),12/30/2015 1:00,0.532,167
CZ75-Auto | Army Sheen (Factory New),12/31/2015 1:00,0.531,177
CZ75-Auto | Army Sheen (Factory New),1/1/2016 1:00,0.548,132
CZ75-Auto | Army Sheen (Factory New),1/2/2016 1:00,0.506,254
CZ75-Auto | Army Sheen (Factory New),1/3/2016 1:00,0.504,154
CZ75-Auto | Army Sheen (Factory New),1/4/2016 1:00,0.445,166
CZ75-Auto | Army Sheen (Factory New),1/5/2016 1:00,0.469,119
CZ75-Auto | Army Sheen (Factory New),1/6/2016 1:00,0.497,113
CZ75-Auto | Army Sheen (Factory New),1/7/2016 1:00,0.525,87
CZ75-Auto | Army Sheen (Factory New),1/8/2016 1:00,0.527,112
CZ75-Auto | Army Sheen (Factory New),1/9/2016 1:00,0.591,121
CZ75-Auto | Army Sheen (Factory New),1/10/2016 1:00,0.522,139
CZ75-Auto | Army Sheen (Factory New),1/11/2016 1:00,0.659,125
CZ75-Auto | Army Sheen (Factory New),1/12/2016 1:00,0.588,88
CZ75-Auto | Army Sheen (Factory New),1/13/2016 1:00,0.604,133
CZ75-Auto | Army Sheen (Factory New),1/14/2016 1:00,0.62,123
CZ75-Auto | Army Sheen (Factory New),1/15/2016 1:00,0.605,121
CZ75-Auto | Army Sheen (Factory New),1/16/2016 1:00,0.663,117
CZ75-Auto | Army Sheen (Factory New),1/17/2016 1:00,0.636,106
CZ75-Auto | Army Sheen (Factory New),1/18/2016 1:00,0.631,84
CZ75-Auto | Army Sheen (Factory New),1/19/2016 1:00,0.64,112
CZ75-Auto | Army Sheen (Factory New),1/20/2016 1:00,0.624,52
CZ75-Auto | Army Sheen (Factory New),1/21/2016 1:00,0.602,94
CZ75-Auto | Army Sheen (Factory New),1/22/2016 1:00,0.577,70
CZ75-Auto | Army Sheen (Factory New),1/23/2016 1:00,0.58,130
CZ75-Auto | Army Sheen (Factory New),1/24/2016 1:00,0.576,121
CZ75-Auto | Army Sheen (Factory New),1/25/2016 1:00,0.592,164
CZ75-Auto | Army Sheen (Factory New),1/26/2016 1:00,0.59,91
CZ75-Auto | Army Sheen (Factory New),1/27/2016 1:00,0.605,104
CZ75-Auto | Army Sheen (Factory New),1/28/2016 1:00,0.906,114
CZ75-Auto | Army Sheen (Factory New),1/29/2016 1:00,0.61,122
CZ75-Auto | Army Sheen (Factory New),1/30/2016 1:00,0.596,106
CZ75-Auto | Army Sheen (Factory New),1/31/2016 1:00,0.633,112
CZ75-Auto | Army Sheen (Factory New),2/1/2016 1:00,0.589,90
CZ75-Auto | Army Sheen (Factory New),2/2/2016 1:00,0.698,98
CZ75-Auto | Army Sheen (Factory New),2/3/2016 1:00,0.677,64
CZ75-Auto | Army Sheen (Factory New),2/4/2016 1:00,0.647,76
CZ75-Auto | Army Sheen (Factory New),2/5/2016 1:00,0.632,98
CZ75-Auto | Army Sheen (Factory New),2/6/2016 1:00,0.626,153
CZ75-Auto | Army Sheen (Factory New),2/7/2016 1:00,0.551,109
CZ75-Auto | Army Sheen (Factory New),2/8/2016 1:00,0.454,83
CZ75-Auto | Army Sheen (Factory New),2/9/2016 1:00,0.471,87
CZ75-Auto | Army Sheen (Factory New),2/10/2016 1:00,0.576,128
CZ75-Auto | Army Sheen (Factory New),2/11/2016 1:00,0.515,99
CZ75-Auto | Army Sheen (Factory New),2/12/2016 1:00,0.485,86
